Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Estonia,EST,2024,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,112042833.053862
Estonia,EST,2023,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,105211554.814749
Estonia,EST,2022,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,64962612.0483633
Estonia,EST,2021,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,78586817.1002891
Estonia,EST,2020,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,56938618.9588941
Estonia,EST,2019,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,63213681.8831703
Estonia,EST,2018,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,66881559.9617491
Estonia,EST,2017,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,62014803.5167385
Estonia,EST,2016,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,51669819.0315086
Estonia,EST,2015,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,43591116.4630313
Estonia,EST,2014,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,61551392.4353936
Estonia,EST,2013,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,49014653.7914747
Estonia,EST,2012,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,61274606.2872205
Estonia,EST,2011,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,74447963.3833869
Estonia,EST,2010,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,60041345.4112553
Estonia,EST,2009,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,45861418.97409
Estonia,EST,2008,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,49797157.7946299
Estonia,EST,2002,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,14113255.1511372
Estonia,EST,2001,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,11232525.4389899
Estonia,EST,2000,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,7909800.99617437
Estonia,EST,1999,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,5626623.12094576
Estonia,EST,1998,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,6954200.26061668
Estonia,EST,1997,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,4559578.55234669
Estonia,EST,1996,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,2909349.7501164
Estonia,EST,1995,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,1092875.39465042
Estonia,EST,1994,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,777511.616061205
Estonia,EST,2024,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,97372671.6734865
Estonia,EST,2023,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,134119034.68672
Estonia,EST,2022,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,79568766.1268265
Estonia,EST,2021,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,369520182.333416
Estonia,EST,2020,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,20544520.4369543
Estonia,EST,2019,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,19406590.9292747
Estonia,EST,2018,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,16138594.7517492
Estonia,EST,2017,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,20217819.2640978
Estonia,EST,2016,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,11485129.1031047
Estonia,EST,2015,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,11896638.9338109
Estonia,EST,2014,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,12772797.4421346
Estonia,EST,2013,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,10079195.9305823
Estonia,EST,2012,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,19307726.9950371
Estonia,EST,2011,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,22438019.7551406
Estonia,EST,2010,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,20323470.1587301
Estonia,EST,2009,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,24466201.9528963
Estonia,EST,2008,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,26859382.8509898
Estonia,EST,2002,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,4915363.96122265
Estonia,EST,2001,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,2124895.16746361
Estonia,EST,2000,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,1557828.55621344
Estonia,EST,1999,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,1735788.98872968
Estonia,EST,1998,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,1157940.36780961
Estonia,EST,1997,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,967263.972300308
Estonia,EST,1996,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,1349056.72419043
Estonia,EST,1995,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,942781.900884106
Estonia,EST,1994,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,860853.291990289
Estonia,EST,2022,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.78205001354218
Estonia,EST,2021,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.76766002178192
Estonia,EST,2020,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.75314998626709
Estonia,EST,2019,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.62057995796204
Estonia,EST,2018,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.40998995304108
Estonia,EST,2017,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.27684998512268
Estonia,EST,2016,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.24305999279022
Estonia,EST,2015,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.4677699804306
Estonia,EST,2014,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.43023002147675
Estonia,EST,2013,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.72412002086639
Estonia,EST,2012,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.12480998039246
Estonia,EST,2011,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,2.30521988868713
Estonia,EST,2010,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.57898998260498
Estonia,EST,2009,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.39679002761841
Estonia,EST,2008,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.25188004970551
Estonia,EST,2007,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.05874001979828
Estonia,EST,2006,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.11276996135712
Estonia,EST,2005,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.917050004005432
Estonia,EST,2004,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.845839977264404
Estonia,EST,2003,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.764649987220764
Estonia,EST,2002,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.712029993534088
Estonia,EST,2001,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.698390007019043
Estonia,EST,2000,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.600000023841858
Estonia,EST,1999,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.677079975605011
Estonia,EST,1998,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.565010011196136
Estonia,EST,2022,Scientific and technical journal articles,IP.JRN.ARTC.SC,1842.31
Estonia,EST,2021,Scientific and technical journal articles,IP.JRN.ARTC.SC,1877.57
Estonia,EST,2020,Scientific and technical journal articles,IP.JRN.ARTC.SC,1794.38
Estonia,EST,2019,Scientific and technical journal articles,IP.JRN.ARTC.SC,1694.02
Estonia,EST,2018,Scientific and technical journal articles,IP.JRN.ARTC.SC,1503.59
Estonia,EST,2017,Scientific and technical journal articles,IP.JRN.ARTC.SC,1589.67
Estonia,EST,2016,Scientific and technical journal articles,IP.JRN.ARTC.SC,1575.25
Estonia,EST,2015,Scientific and technical journal articles,IP.JRN.ARTC.SC,1544.89
Estonia,EST,2014,Scientific and technical journal articles,IP.JRN.ARTC.SC,1687.96
Estonia,EST,2013,Scientific and technical journal articles,IP.JRN.ARTC.SC,1450.11
Estonia,EST,2012,Scientific and technical journal articles,IP.JRN.ARTC.SC,1497.43
Estonia,EST,2011,Scientific and technical journal articles,IP.JRN.ARTC.SC,1397.32
Estonia,EST,2010,Scientific and technical journal articles,IP.JRN.ARTC.SC,1416.28
Estonia,EST,2009,Scientific and technical journal articles,IP.JRN.ARTC.SC,1166.8
Estonia,EST,2008,Scientific and technical journal articles,IP.JRN.ARTC.SC,1143.75
Estonia,EST,2007,Scientific and technical journal articles,IP.JRN.ARTC.SC,1079.02
Estonia,EST,2006,Scientific and technical journal articles,IP.JRN.ARTC.SC,901.46
Estonia,EST,2005,Scientific and technical journal articles,IP.JRN.ARTC.SC,720.21
Estonia,EST,2004,Scientific and technical journal articles,IP.JRN.ARTC.SC,636.57
Estonia,EST,2003,Scientific and technical journal articles,IP.JRN.ARTC.SC,571.1
Estonia,EST,2002,Scientific and technical journal articles,IP.JRN.ARTC.SC,509.77
Estonia,EST,2001,Scientific and technical journal articles,IP.JRN.ARTC.SC,516.3
Estonia,EST,2000,Scientific and technical journal articles,IP.JRN.ARTC.SC,464.97
Estonia,EST,1999,Scientific and technical journal articles,IP.JRN.ARTC.SC,484.81
Estonia,EST,1998,Scientific and technical journal articles,IP.JRN.ARTC.SC,459.91
Estonia,EST,1997,Scientific and technical journal articles,IP.JRN.ARTC.SC,404.39
Estonia,EST,1996,Scientific and technical journal articles,IP.JRN.ARTC.SC,417.38
Estonia,EST,2021,"Patent applications, nonresidents",IP.PAT.NRES,1
Estonia,EST,2020,"Patent applications, nonresidents",IP.PAT.NRES,2
Estonia,EST,2019,"Patent applications, nonresidents",IP.PAT.NRES,1
Estonia,EST,2018,"Patent applications, nonresidents",IP.PAT.NRES,6
Estonia,EST,2017,"Patent applications, nonresidents",IP.PAT.NRES,4
Estonia,EST,2016,"Patent applications, nonresidents",IP.PAT.NRES,1
Estonia,EST,2015,"Patent applications, nonresidents",IP.PAT.NRES,6
Estonia,EST,2014,"Patent applications, nonresidents",IP.PAT.NRES,6
Estonia,EST,2013,"Patent applications, nonresidents",IP.PAT.NRES,17
Estonia,EST,2012,"Patent applications, nonresidents",IP.PAT.NRES,5
Estonia,EST,2011,"Patent applications, nonresidents",IP.PAT.NRES,15
Estonia,EST,2010,"Patent applications, nonresidents",IP.PAT.NRES,13
Estonia,EST,2009,"Patent applications, nonresidents",IP.PAT.NRES,20
Estonia,EST,2008,"Patent applications, nonresidents",IP.PAT.NRES,10
Estonia,EST,2007,"Patent applications, nonresidents",IP.PAT.NRES,19
Estonia,EST,2006,"Patent applications, nonresidents",IP.PAT.NRES,9
